name,latin,family,status,source,tradition,search_key,systems,properties
Chamomile,Matricaria chamomilla,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,chamomile,"digestive, nervous, skin","Antiallergic, Anti-inflammatory (general), Anti-inflammatory (digestive/mucous membranes/skin), Anti-inflammatory (external), Anti-ulcer, Antirheumatic, Antioxidant, Bitter tonic, Carminative, Choleretic, Vulnerary, Antispasmodic, Sedative, Antifungal, Immunomodulating, Cholagogue, Healing, Hypnotic, Analgesic (pain relief)"
Chaparral,Larrea tridenta and related species,Zygophyllaceae (Caltrop family),insufficient_data,materia-medica-github,Western Herbalism,chaparral,"digestive, skin",
Chickweed,Stillaria media,Caryophyllaceae (Pink family),insufficient_data,materia-medica-github,Western Herbalism,chickweed,urinary,"Anti-inflammatory (digestive/mucous membranes/skin), Anti-inflammatory (external), Anti-ulcer, Astringent, Blood pressure regulating, Emollient, Vulnerary, Antipruritic, Antacid, Healing"
Chinese Skullcap,Scutellaria baicalensis,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,chineseskullcap,"immune, cardiovascular","Antiallergic, Antiviral (internal), Blood pressure regulating"
Cinnamon,Cinnamomum zeylanicum,Lauraceae (Laurel family),insufficient_data,materia-medica-github,Western Herbalism,cinnamon,"cardiovascular, skin, endocrine","Aldose reductase inhibitor, Antibacterial, Antiemetic, Antimicrobial, Anti-ulcer, Appetite stimulant, Astringent, Blood sugar regulating, Carminative, Antiparasitic, Antifungal"
Cleavers,Galium aparine,Rubiaceae (Coffee family),insufficient_data,materia-medica-github,Western Herbalism,cleavers,urinary,"Blood purifier, Laxative, Lymphatic stimulant"
Cloves,Caryophyllus zeylanicum,Myrtaceae (Myrtle family),insufficient_data,materia-medica-github,Western Herbalism,cloves,cardiovascular,
Codonopsis,Codonopsis pilosula,Campanulaceae (Bellflower family),insufficient_data,materia-medica-github,Western Herbalism,codonopsis,"immune, digestive, endocrine","Adaptogen, Immunomodulating, Expectorant, Tonic, Blood sugar regulating, Blood strengthening"
Coleus,Coleus forskohlii,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,coleus,"cardiovascular, respiratory","Bronchial spasmolytic, Vasodilator, Blood pressure lowering, Appetite stimulant, Bitter tonic, Blood pressure regulating, Heart tonic"
Coltsfoot,Tussilago farfara,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,coltsfoot,respiratory,
Comfrey,Symphytum officinale,Boraginaceae (Borage family),insufficient_data,materia-medica-github,Western Herbalism,comfrey,respiratory,
Cordyceps,Ophiocordyceps militaris,Ophiocordycipitaceae (Mushroom),insufficient_data,materia-medica-github,Western Herbalism,cordyceps,"immune, respiratory, endocrine","Adaptogen, Immunomodulating, Expectorant, Tonic, Aphrodisiac, Aldose reductase inhibitor, Antibacterial, Anticancer preventive, Anti-inflammatory (general), Anti-inflammatory (musculoskeletal), Blood sugar regulating, Antispasmodic, Analgesic (pain relief), Weight reducing"
Cornsilk,Zea mays,Poaceae (Grass family),insufficient_data,materia-medica-github,Western Herbalism,cornsilk,urinary,"Anti-inflammatory (urinary), Emollient"
Couch Grass,Agropyron repens,Poaceae (Grass family),insufficient_data,materia-medica-github,Western Herbalism,couchgrass,urinary,"Antimicrobial, Demulcent, Diuretic, Urinary antiseptic, Anti-inflammatory (urinary), Antilithic, Emollient"
Cramp Bark,Viburnum opulus,Adoxaceae (Moschatel family),insufficient_data,materia-medica-github,Western Herbalism,crampbark,woman-reproductive,"Astringent, Sedative, Vasodilator, Blood pressure lowering, Antispasmodic, Emmenagogue, Circulatory stimulant, Blood pressure regulating, Uterine relaxant, Uterine tonic"
Cranberry,Vaccinium macrocarpon,Ericaceae (Heath family),insufficient_data,materia-medica-github,Western Herbalism,cranberry,urinary,"Urinary antiseptic, Antioxidant, Anti-inflammatory (urinary), Antiseptic (urinary)"
Crataeva,Crataeva nurvala,Capparaceae (Caper family),insufficient_data,materia-medica-github,Western Herbalism,crataeva,urinary,"Anti-inflammatory (urinary), Antilithic, Diuretic, Bladder tonic"
Damiana,Turnera diffusa,Passifloraceae (Passion flower family),insufficient_data,materia-medica-github,Western Herbalism,damiana,"male-reproductive, nervous","Aphrodisiac, Antilithic, Laxative, Male tonic, Nerve tonic, Tonic"
Dandelion,Taraxacum officinale,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,dandelion,"digestive, urinary","Anti-inflammatory (general), Anti-inflammatory (musculoskeletal), Antirheumatic, Bitter tonic, Cholagogue, Choleretic, Laxative, Hepatoprotective, Diuretic"
Devil's Claw,Harpagophytum procumbens,Pedaliaceae (Sesame family),insufficient_data,materia-medica-github,Western Herbalism,devil'sclaw,"digestive, immune","Analgesic, Anti-inflammatory (musculoskeletal), Antirheumatic, Bitter tonic, Anti-inflammatory (general), Anti-inflammatory (cardiovascular), Antiarrhythmic, Vasodilator, Diuretic"
Dill,Anethum graveolens,Apiaceae (Carrot family),insufficient_data,materia-medica-github,Western Herbalism,dill,digestive,"Carminative, Antispasmodic, Bitter tonic"
Dong Quai,Angelica sinensis,Apiaceae (Carrot family),insufficient_data,materia-medica-github,Western Herbalism,dongquai,"woman-reproductive, cardiovascular","Anti-inflammatory (general), Anti-inflammatory (female reproductive), Anticoagulant, Antiarrhythmic, Blood strengthening, Laxative, Vasodilator, Woman tonic, Uterine tonic, Heart tonic, Emmenagogue"
Echinacea,Echinacea angustifolia and Echinacea purpurea,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,echinacea,"immune, digestive","Antiallergic, Anti-inflammatory (general), Anti-inflammatory (respiratory), Anti-inflammatory (digestive/mucous membranes/skin), Anti-inflammatory (urinary), Anti-inflammatory (external), Antimicrobial, Anti-ulcer, Antiviral (internal), Vasodilator, Blood purifier, Choleretic, Vulnerary, Immunomodulating, Lymphatic stimulant, Sialagogue, Antifungal, Healing"
Elderberry,Sambucus nigra,Adoxaceae (Moschatel family),insufficient_data,materia-medica-github,Western Herbalism,elderberry,"immune, respiratory","Antiviral (internal), Diaphoretic"
Elecampane,Inula helenium,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,elecampane,"respiratory, skin","Antibacterial, Astringent, Bronchial spasmolytic, Antispasmodic, Expectorant, Diaphoretic, Blood pressure regulating, Mucolytic"
Ephedra,Ephedra sinica,Ephedraceae (Ephedra family),insufficient_data,materia-medica-github,Western Herbalism,ephedra,"respiratory, cardiovascular",
Eyebright,Euphrasia officinalis,Orobanchaceae (Broomrape family),insufficient_data,materia-medica-github,Western Herbalism,eyebright,immune,"Anti-inflammatory (general), Astringent, Mucous membrane strengthening, Mucous membrane tonic, Mucostatic (upper respiratory)"
False Unicorn Root,Chamaelirium luteum,Melanthiaceae (False hellebore family),insufficient_data,materia-medica-github,Western Herbalism,falseunicornroot,woman-reproductive,"Woman tonic, Uterine tonic, Emmenagogue, Estrogen regulating"
Feverfew,Tanacetum parthenium,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,feverfew,"nervous, cardiovascular","Analgesic, Anti-inflammatory (general), Antiplatelet, Vasodilator, Antiallergic, Bitter tonic"
Gentian,Gentiana lutea,Gentianaceae (Gentian family),insufficient_data,materia-medica-github,Western Herbalism,gentian,digestive,"Bitter tonic, Appetite stimulant, Choleretic, Sialagogue"
Ginkgo,Ginkgo biloba,Ginkgoaceae (Ginkgo family),insufficient_data,materia-medica-github,Western Herbalism,ginkgo,cardiovascular,"Anticancer preventive, Antidepressant, Anti-inflammatory (brain), Anti-inflammatory (cardiovascular), Antioxidant, Connective tissue strengthening, Vasodilator, Circulatory stimulant, Nootropic, Venotonic"
Ginseng,Panax and related species,Araliaceae (Ginseng family),insufficient_data,materia-medica-github,Western Herbalism,ginseng,"cardiovascular, woman-reproductive, male-reproductive, immune, endocrine","Adaptogen, Aphrodisiac, Antimicrobial, Antioxidant, Adrenal tonic, Blood pressure raising, Blood sugar regulating, Heart tonic, Hypnotic, Immunomodulating, Interferon stimulating, Woman tonic, Hepatoprotective, Male tonic, Tonic, Estrogen regulating, Antiarrhythmic, Hemostatic, Cardioprotective, Cholesterol lowering"
Goat's Rue,Galega officinalis,Fabaceae (Legume family),insufficient_data,materia-medica-github,Western Herbalism,goat'srue,"digestive, woman-reproductive, endocrine","Blood sugar regulating, Galactagogue"
Golden Oyster Mushroom,Pleurotus citrinopileatus,Pleurotaceae (Mushroom),insufficient_data,materia-medica-github,Western Herbalism,goldenoystermushroom,immune,"Antioxidant, Immunomodulating, Aldose reductase inhibitor, Antibacterial, Anticancer preventive, Antidepressant, Anti-inflammatory (general), Anti-inflammatory (musculoskeletal), Anti-inflammatory (brain), Anti-inflammatory (cardiovascular), Anti-inflammatory (digestive/mucous membranes/skin), Anti-inflammatory (external), Antimicrobial, Sedative, Connective tissue strengthening, Blood pressure regulating, Blood pressure lowering, Heart tonic, Hypnotic, Nerve tonic, Antiparasitic, Antifungal"
Goldenrod,Solidago virgaurea,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,goldenrod,"urinary, respiratory","Anti-inflammatory (urinary), Antimicrobial, Astringent, Diuretic, Anti-inflammatory (general), Anti-inflammatory (respiratory), Antiseptic (urinary), Blood purifier, Kidney tonic, Mucous membrane strengthening, Mucostatic (upper respiratory), Antifungal"
Goldenseal,Hydrastis canadensis,Ranunculaceae (Buttercup family),insufficient_data,materia-medica-github,Western Herbalism,goldenseal,digestive,
Gotu Kola,"Centella asiatica, Hydrocotyle asiatica",Apiaceae (Carrot family),insufficient_data,materia-medica-github,Western Herbalism,gotukola,"cardiovascular, endocrine","Adaptogen, Anti-inflammatory (general), Anti-inflammatory (musculoskeletal), Anti-inflammatory (external), Connective tissue strengthening, Vasodilator, Blood purifier, Vulnerary, Nerve tonic, Tonic, Healing"
Gravel Root,Eupatorium purpureum,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,gravelroot,"urinary, skin",Antilithic
Green Tea,Camellia sinensis,Theaceae (Tea family),insufficient_data,materia-medica-github,Western Herbalism,greentea,"cardiovascular, immune","Antioxidant, Cholesterol lowering, Weight reducing, Anticancer preventive, Anti-inflammatory (general), Anti-inflammatory (brain), Metabolism raising"
Grindelia,Grindelia camporum,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,grindelia,respiratory,"Antispasmodic, Bronchial spasmolytic, Expectorant, Mucostatic (lower respiratory), Mucolytic"
Guaiacum,Guaiacum officinalis,Zygophyllaceae (Caltrop family),insufficient_data,materia-medica-github,Western Herbalism,guaiacum,immune,"Anti-inflammatory (general), Antirheumatic, Diaphoretic, Anti-inflammatory (musculoskeletal)"
Hawthorn,Crataegus arter,Rosaceae (Rose family),insufficient_data,materia-medica-github,Western Herbalism,hawthorn,cardiovascular,"Antiarrhythmic, Antioxidant, Blood pressure regulating, Cardioprotective, Heart tonic, Vasodilator, Astringent, Connective tissue strengthening, Blood pressure raising, Blood pressure lowering, Cholesterol lowering, Circulatory stimulant"
Heartsease,Viola tricolor,Violaceae (Violet family),insufficient_data,materia-medica-github,Western Herbalism,heartsease,"skin, respiratory","Anti-inflammatory (external), Blood purifier, Expectorant, Anticancer preventive, Anti-inflammatory (musculoskeletal), Laxative"
Hops,Humulus lupulus,Cannabaceae (Hemp family),insufficient_data,materia-medica-github,Western Herbalism,hops,nervous,"Sedative, Bitter tonic, Vulnerary, Hypnotic, Antispasmodic, Nerve tonic, Analgesic, Antiperspirant, Healing, Anhidrotic"
Horehound,Marrubium vulgare,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,horehound,"digestive, respiratory","Bitter tonic, Expectorant, Antispasmodic, Choleretic, Cholagogue, Mucolytic"
Horse Chestnut,Aesculus hippocastanum,Sapindaceae (Soapberry family),insufficient_data,materia-medica-github,Western Herbalism,horsechestnut,cardiovascular,"Anti-inflammatory, Venotonic"
Horseradish,Armoracia rusticana,Brassicaceae (Mustard family),insufficient_data,materia-medica-github,Western Herbalism,horseradish,cardiovascular,
Horsetail,Equisetum arvense,Equisetaceae (Horsetail family),insufficient_data,materia-medica-github,Western Herbalism,horsetail,"urinary, skin","Astringent, Connective tissue strengthening, Diuretic, Hemostatic, Vulnerary"
Irish Moss,Chondrus crispus,Gigartinaceae (Red algae family),insufficient_data,materia-medica-github,Western Herbalism,irishmoss,respiratory,
Jujube,Zizyphus jujuba,Rhamnaceae (Buckthorn family),insufficient_data,materia-medica-github,Western Herbalism,jujube,"nervous, digestive","Nerve tonic, Sedative, Tonic, Blood pressure regulating, Blood pressure lowering"
Lady's Mantle,Alchemilla vulgaris,Rosaceae (Rose family),insufficient_data,materia-medica-github,Western Herbalism,lady'smantle,"woman-reproductive, endocrine","Astringent, Woman tonic, Emmenagogue, Uterine tonic, Estrogen regulating, Hemostatic"
Lavender,Lavandula officinalis,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,lavender,"nervous, skin","Antidepressant, Antipruritic, Carminative, Sedative, Antispasmodic"
Lemon Balm,Melissa officinalis,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,lemonbalm,"nervous, digestive, skin","Antiviral (external), Carminative, Sedative, Antispasmodic, Hypnotic, Diaphoretic"
Ligustrum,Ligustrum lucidum,Oleaceae (Olive family),insufficient_data,materia-medica-github,Western Herbalism,ligustrum,immune,"Immunomodulating, Tonic, Hepatoprotective, Kidney tonic"
Linden,Tilia arter,Malvaceae (Mallow family),insufficient_data,materia-medica-github,Western Herbalism,linden,"nervous, cardiovascular","Antispasmodic, Diaphoretic, Nerve tonic, Sedative, Vasodilator, Antiarrhythmic, Circulatory stimulant"
Lion's Mane,Hericium erinaceus,Hericiaceae (Mushroom),insufficient_data,materia-medica-github,Western Herbalism,lion'smane,"nervous, immune, digestive","Nootropic, Immunomodulating, Nerve tonic, Adaptogen, Aldose reductase inhibitor, Antibacterial, Anticancer preventive, Antidepressant, Anti-inflammatory (general), Anti-inflammatory (brain), Antioxidant, Blood sugar regulating"
Lobelia,Lobelia inflata,Campanulaceae (Bellflower family),insufficient_data,materia-medica-github,Western Herbalism,lobelia,"nervous, respiratory, skin",
Marshmallow,Althea officinalis,Malvaceae (Mallow family),insufficient_data,materia-medica-github,Western Herbalism,marshmallow,"respiratory, urinary","Anti-inflammatory (respiratory), Anti-inflammatory (digestive/mucous membranes/skin), Anti-inflammatory (urinary), Anti-ulcer, Emollient, Vulnerary"
Marshmallow,Althaea officinalis,Malvaceae (Mallow family),insufficient_data,materia-medica-github,Western Herbalism,marshmallow,"digestive, respiratory, urinary, skin","Anti-inflammatory (digestive/mucous membranes/skin), Anti-inflammatory (respiratory), Anti-inflammatory (urinary), Anti-ulcer, Emollient, Vulnerary, Healing"
Meadowsweet,Filipendula ulmaria,Rosaceae (Rose family),insufficient_data,materia-medica-github,Western Herbalism,meadowsweet,"digestive, urinary","Anti-inflammatory (general), Anti-inflammatory (digestive/mucous membranes/skin), Anti-ulcer, Astringent, Urinary antiseptic, Antacid, Antiseptic (urinary), Emollient"
Milk Thistle,Silybum marianum,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,milkthistle,digestive,"Anti-inflammatory (liver), Antioxidant, Bitter tonic, Choleretic, Hepatoprotective, Hepatic cell regenerating, Cholagogue"
Motherwort,Leonurus cardiaca,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,motherwort,"woman-reproductive, cardiovascular, nervous","Antiarrhythmic, Sedative, Nerve tonic, Blood pressure regulating, Blood pressure lowering, Antispasmodic"
Mugwort,Artemisia vulgaris,Asteraceae (Daisy family),insufficient_data,materia-medica-github,Western Herbalism,mugwort,digestive,"Bitter tonic, Choleretic, Cholagogue"
Mullein,Verbascum thapsus,Scrophulariaceae (Figwort family),insufficient_data,materia-medica-github,Western Herbalism,mullein,"respiratory, skin","Vulnerary, Mucostatic (lower respiratory), Expectorant, Healing, Mucolytic"
Myrrh,Commiphora molmol,Burseraceae (Frankincense family),insufficient_data,materia-medica-github,Western Herbalism,myrrh,"immune, digestive, skin","Antimicrobial, Antiseptic, Astringent, Anti-inflammatory (general), Vulnerary, Healing"
Nettles,Urtica dioica,Urticaceae (Nettle family),insufficient_data,materia-medica-github,Western Herbalism,nettles,"digestive, woman-reproductive, male-reproductive","Antiallergic, Anti-inflammatory (external), Antilithic, Antirheumatic, Blood purifier, Hemostatic, Blood strengthening, Choleretic, Uterine contracting, Galactagogue, Prostate growth inhibiting"
Oat Straw,Avena sativa,Poaceae (Grass family),insufficient_data,materia-medica-github,Western Herbalism,oatstraw,"nervous, cardiovascular","Nerve tonic, Sedative, Tonic, Cholesterol lowering, Antidepressant, Hypnotic"
Olive Leaf,Olea europaea,Oleaceae (Olive family),insufficient_data,materia-medica-github,Western Herbalism,oliveleaf,"cardiovascular, immune","Antimicrobial, Antioxidant, Antiviral (internal), Bitter tonic, Blood pressure lowering"
Oregano,Origanum vulgare,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,oregano,"digestive, respiratory, immune","Antibacterial, Antimicrobial"
Oregon Grape,Berberis aquifolium and related species,Berberidaceae (Barberry family),insufficient_data,materia-medica-github,Western Herbalism,oregongrape,digestive,"Blood purifier, Choleretic, Anti-inflammatory (respiratory), Anti-inflammatory (digestive/mucous membranes/skin), Antimicrobial, Bitter tonic, Cholagogue"
Parsley Root,Petroselinum crispum,Apiaceae (Carrot family),insufficient_data,materia-medica-github,Western Herbalism,parsleyroot,urinary,
Partridgeberry,Mitchella repens,Rubiaceae (Coffee family),insufficient_data,materia-medica-github,Western Herbalism,partridgeberry,woman-reproductive,"Astringent, Uterine relaxant, Uterine contracting, Galactagogue, Uterine tonic"
Passionflower,Passiflora incarnata,Passifloraceae (Passion flower family),insufficient_data,materia-medica-github,Western Herbalism,passionflower,nervous,"Sedative, Antispasmodic, Hypnotic, Blood pressure regulating, Blood pressure lowering, Analgesic"
Pau d'Arco,Tabebuia impetiginosa,Bignoniaceae (Trumpet vine family),insufficient_data,materia-medica-github,Western Herbalism,paud'arco,immune,"Antibacterial, Anticancer preventive, Antifungal, Antiviral, Blood purifier, Lymphatic stimulant, Antiparasitic, Immunomodulating"
Pennyroyal,Mentha pulegium,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,pennyroyal,woman-reproductive,"Emmenagogue, Antispasmodic, Carminative"
Peppermint,Mentha piperita,Lamiaceae (Mint family),insufficient_data,materia-medica-github,Western Herbalism,peppermint,cardiovascular,"Analgesic, Antiemetic, Antimicrobial, Antioxidant, Sedative, Carminative, Cholagogue, Choleretic, Expectorant, Antipruritic, Antispasmodic, Antifungal, Diaphoretic, Anti-inflammatory (digestive/mucous membranes/skin)"
Phyllanthus,Phyllanthus amarus,Phyllanthaceae (Phyllanthus family),insufficient_data,materia-medica-github,Western Herbalism,phyllanthus,"digestive, urinary","Antiviral (internal), Diuretic, Hepatoprotective, Urinary antiseptic"
Picrorrhiza,Picrorrhiza kurroa,Plantaginaceae (Plantain family),insufficient_data,materia-medica-github,Western Herbalism,picrorrhiza,"digestive, immune","Bitter tonic, Choleretic, Hepatoprotective, Immunomodulating"
Pine Bark Extract,Pinus pinaster,Pinaceae (Pine family),insufficient_data,materia-medica-github,Western Herbalism,pinebarkextract,"cardiovascular, immune","Anti-inflammatory (general), Antioxidant, Circulatory stimulant, Venotonic, Aldose reductase inhibitor, Antiallergic, Anticancer preventive, Anti-inflammatory (brain), Anti-inflammatory (respiratory), Anti-inflammatory (digestive/mucous membranes/skin), Anti-inflammatory (external), Antiviral (external), Astringent, Connective tissue strengthening, Vasodilator, Blood pressure regulating, Bronchial spasmolytic, Fibrinolytic, Healing, Cholesterol lowering, Antispasmodic, Mucolytic, Mucous membrane strengthening"
Pipsissewa,Chimaphila umbellata,Ericaceae (Heath family),insufficient_data,materia-medica-github,Western Herbalism,pipsissewa,urinary,
