name,latin,english_name,family,status,source,tradition
Yastimadhu,Glycyrrhiza glabra,Licorice,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Bibhitaki,Terminalia bellirica,Beleric Myrobalan,Combretaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Pippali,Piper longum,Long Pepper,Piperaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Maricha,Piper nigrum,Black Pepper,Piperaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Shunthi,Zingiber officinale,Dry Ginger,Zingiberaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Vidanga,Embelia ribes,False Black Pepper,Primulaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Arjuna,Terminalia arjuna,Arjuna Tree,Combretaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Punarnava,Boerhavia diffusa,Spreading Hogweed,Nyctaginaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Vacha,Acorus calamus,Sweet Flag,Acoraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Hingu,Ferula assa-foetida,Asafoetida,Apiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Jeeraka,Cuminum cyminum,Cumin Seeds,Apiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Dhanyaka,Coriandrum sativum,Coriander,Apiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Methi,Trigonella foenum-graecum,Fenugreek,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Shallaki,Boswellia serrata,Indian Olibanum,Burseraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Jyotishmati,Celastrus paniculatus,Intellect Tree,Celastraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Japa,Hibiscus rosa-sinensis,Hibiscus,Malvaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kamala,Nelumbo nucifera,Sacred Lotus,Nelumbonaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Ketaki,Pandanus odorifer,Fragrant Screw Pine,Pandanaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Atasi,Linum usitatissimum,Flaxseed,Linaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Tila,Sesamum indicum,Sesame,Pedaliaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Brihati,Solanum indicum,Indian Nightshade,Solanaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Gokshura,Tribulus terrestris,Puncture Vine,Zygophyllaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Hamsapadi,Adiantum lunulatum,Walking Maidenhair Fern,Pteridaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Lavanga,Syzygium aromaticum,Clove,Myrtaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Nagakesara,Mesua ferrea,Ironwood Tree,Calophyllaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Sarpagandha,Rauvolfia serpentina,Indian Snakeroot,Apocynaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Varuna,Crateva nurvala,Three-leaved Caper,Capparaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Aragwadha,Cassia fistula,Indian Laburnum,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Apamarga,Achyranthes aspera,Prickly Chaff Flower,Amaranthaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Trivrit,Operculina turpethum,Indian Jalap,Convolvulaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Durva,Cynodon dactylon,Bermuda Grass,Poaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Jatiphala,Myristica fragrans,Nutmeg,Myristicaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kulattha,Macrotyloma uniflorum,Horse Gram,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Amra,Mangifera indica,Mango,Anacardiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Jambu,Syzygium cumini,Black Plum,Myrtaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Snuhi,Euphorbia neriifolia,Indian Spurge Tree,Euphorbiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kasani,Cichorium intybus,Chicory,Asteraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Sharapunkha,Tephrosia purpurea,Purple Tephrosia,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Prishniparni,Uraria picta,Pointed-leaved Uraria,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Jayapala,Croton tiglium,Purging Croton,Euphorbiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Gunja,Abrus precatorius,Rosary Pea,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Karavira,Nerium oleander,Oleander,Apocynaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kadamba,Neolamarckia cadamba,Burflower Tree,Rubiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Badara,Ziziphus mauritiana,Indian Jujube,Rhamnaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kapittha,Limonia acidissima,Wood Apple,Rutaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kharjura,Phoenix dactylifera,Date Palm,Arecaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Langali,Gloriosa superba,Flame Lily,Colchicaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kankola,Piper cubeba,Cubeb Pepper,Piperaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Mudga,Vigna radiata,Green Gram,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Masura,Lens culinaris,Lentil,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Ishwari,Aristolochia indica,Indian Birthwort,Aristolochiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Priyangu,Callicarpa macrophylla,Beautyberry,Lamiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Dhattura,Datura metel,Jimsonweed,Solanaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Ativisha,Aconitum heterophyllum,Indian Atees,Ranunculaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Vamsha,Bambusa bambos,Thorny Bamboo,Poaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Palandu,Allium cepa,Onion,Amaryllidaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Trapusha,Cucumis sativus,Cucumber,Cucurbitaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Hrivera,Coleus vettiveroides,Black Vetiver,Lamiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Plaksha,Ficus infectoria,White Fig,Moraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Udumbara,Ficus racemosa,Cluster Fig,Moraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Ashwattha,Ficus religiosa,Sacred Fig,Moraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Puga,Areca catechu,Areca Nut,Arecaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kakamachi,Solanum nigrum,Black Nightshade,Solanaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Mishreya,Foeniculum vulgare,Fennel,Apiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Shankhpushpi,Convolvulus pluricaulis,Shankhpushpi,Convolvulaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kushtha,Saussurea costus,Costus,Asteraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Madanaphala,Catunaregam spinosa,Emetic Nut,Rubiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Patha,Cissampelos pareira,Velvetleaf,Menispermaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Saptaparna,Alstonia scholaris,Devil's Tree,Apocynaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Prasarini,Paederia foetida,Stinkvine,Rubiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Asana,Pterocarpus marsupium,Indian Kino Tree,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kushmanda,Benincasa hispida,Ash Gourd,Cucurbitaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Vartaku,Solanum melongena,Brinjal,Solanaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Dronapushpi,Leucas cephalotes,Leucas,Lamiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Swarnapatri,Cassia angustifolia,Senna,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Chandrashura,Lepidium sativum,Garden Cress,Brassicaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Chirabilva,Holoptelea integrifolia,Indian Elm,Ulmaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Himsra,Capparis sepiaria,Caper Bush,Capparaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Karkatashringi,Pistacia integerrima,Crab's Claw,Anacardiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Katphala,Myrica esculenta,Bayberry,Myricaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Krishna Jeeraka,Carum carvi,Black Cumin,Apiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Murva,Marsdenia tenacissima,Marsdenia,Apocynaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Paribhadra,Erythrina variegata,Indian Coral Tree,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Shyonaka,Oroxylum indicum,Broken Bones Plant,Bignoniaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Alabu,Lagenaria siceraria,Bottle Gourd,Cucurbitaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Vriddhadaru,Argyreia nervosa,Elephant Creeper,Convolvulaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Narikela,Cocos nucifera,Coconut,Arecaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Talamuli,Curculigo orchioides,Golden Eye Grass,Hypoxidaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Saireyaka,Barleria prionitis,Yellow Barleria,Acanthaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Varahikanda,Dioscorea bulbifera,Air Potato,Dioscoreaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Ankola,Alangium salviifolium,Sage-leaved Alangium,Alangiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Changeri,Oxalis corniculata,Indian Sorrel,Oxalidaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Koshataki,Luffa acutangula,Angled Luffa,Cucurbitaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Tanduliyaka,Amaranthus spinosus,Spiny Amaranth,Amaranthaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Ingudi,Balanites aegyptiaca,Desert Date,Balanitaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Jivaka,Malaxis acuminata,Jivaka Orchid,Orchidaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Rishabhaka,Malaxis muscifera,Rishabhaka Orchid,Orchidaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Meda,Polygonatum cirrhifolium,Tendril-leaved Solomon's Seal,Asparagaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kakoli,Fritillaria roylei,Roscoe's Lily,Liliaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Dhamasa,Fagonia indica,Fagonia,Zygophyllaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Rohisha,Cymbopogon martinii,Palmarosa Grass,Poaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Suryavarta,Cleome gynandra,Spiderwisp,Cleomaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Gangeruki,Grewia tenax,White Crossberry,Malvaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kumbhika,Pistia stratiotes,Water Lettuce,Araceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Sthuneyaka,Taxus baccata,Common Yew,Taxaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Utingana,Blepharis edulis,Utangan Seeds,Acanthaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kumari,Aloe vera,Aloe Vera,Asphodelaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Asthishrinkhala,Cissus quadrangularis,Veldt Grape,Vitaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Bharangi,Rotheca serrata,Blue Fountain Bush,Lamiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Arka,Calotropis gigantea,Giant Calotrope,Apocynaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Indravaruni,Citrullus colocynthis,Colocynth,Cucurbitaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kadali,Musa paradisiaca,Banana,Musaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Tintidika,Tamarindus indica,Tamarind,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Rudraksha,Elaeocarpus ganitrus,Utrasum Bead Tree,Elaeocarpaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Putranjivaka,Putranjiva roxburghii,Child Life Tree,Putranjivaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Padmaka,Prunus cerasoides,Himalayan Wild Cherry,Rosaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Pilu,Salvadora persica,Toothbrush Tree,Salvadoraceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Simsapa,Dalbergia sissoo,Indian Rosewood,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Arishtaka,Sapindus mukorossi,Soapnut,Sapindaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Visha Tinduka,Strychnos nux-vomica,Nux Vomica,Loganiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Devadali,Luffa echinata,Bristly Luffa,Cucurbitaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Dhava,Anogeissus latifolia,Axlewood Tree,Combretaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Gajapippali,Scindapsus officinalis,Official Elephant Pepper,Araceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Granthiparni,Angelica glauca,Angelica,Apiaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Hapusa,Juniperus communis,Juniper Berry,Cupressaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kakajangha,Peristrophe paniculata,Panicled Peristrophe,Acanthaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Karmaranga,Averrhoa carambola,Star Fruit,Oxalidaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kasheruka,Scirpus grossus,Greater Club Rush,Cyperaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Kembuka,Hellenia speciosa,Crepe Ginger,Costaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Koshamra,Schleichera oleosa,Ceylon Oak,Sapindaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Latakaranja,Caesalpinia crista,Fever Nut,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Lavali,Phyllanthus acidus,Malay Gooseberry,Phyllanthaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Mahanimba,Melia azedarach,Persian Lilac,Meliaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Nagabala,Grewia hirsuta,Snake Mallow,Malvaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Pattanga,Biancaea sappan,Sappanwood,Fabaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
Sarja,Vateria indica,White Dammar,Dipterocarpaceae,insufficient_data,amidha-ayurveda-github,Ayurveda
